,T,L0,L1,L2,R0,R1,R2,L0_ANOMALY,L1_ANOMALY,L2_ANOMALY,R0_ANOMALY,R1_ANOMALY,R2_ANOMALY
0,2021-01-28 14:45:18,1023.0,992.0,1023.0,1023.0,738.0,1023.0,0,0,0,0,0,0
1,2021-01-28 14:45:16,1023.0,964.0,1023.0,1023.0,479.0,1023.0,0,0,0,0,0,0
2,2021-01-28 14:45:15,1023.0,1023.0,1023.0,1023.0,712.0,1023.0,0,0,0,0,0,0
3,2021-01-28 14:45:14,1023.0,1023.0,1023.0,1023.0,746.0,1023.0,0,0,0,0,0,0
4,2021-01-28 14:45:13,1023.0,1023.0,1023.0,1023.0,692.0,1023.0,0,0,0,0,0,0
5,2021-01-28 14:45:12,1023.0,1023.0,1023.0,1023.0,442.0,1023.0,0,0,0,0,0,0
6,2021-01-28 14:45:11,1023.0,1023.0,1023.0,1023.0,837.0,1023.0,0,0,0,0,0,0
7,2021-01-28 14:45:09,1023.0,1023.0,1023.0,1023.0,756.0,1023.0,0,0,0,0,0,0
8,2021-01-28 14:45:08,1023.0,1023.0,1023.0,1023.0,713.0,1023.0,0,0,0,0,0,0
9,2021-01-28 14:45:07,1023.0,1022.0,1023.0,1023.0,669.0,1023.0,0,0,0,0,0,0
10,2021-01-28 14:45:06,1023.0,944.0,1023.0,414.0,107.0,659.0,0,0,0,0,0,0
11,2021-01-28 14:45:05,1023.0,1023.0,1023.0,669.0,108.0,613.0,0,0,0,0,0,0
12,2021-01-28 14:45:04,541.0,519.0,1023.0,1023.0,929.0,1023.0,0,0,0,0,0,0
13,2021-01-28 14:45:03,1023.0,1023.0,1023.0,1023.0,738.0,1023.0,0,0,0,0,0,0
14,2021-01-28 14:45:01,1023.0,1023.0,1023.0,1023.0,719.0,1023.0,0,0,0,0,0,0
15,2021-01-28 14:45:00,852.0,773.0,1023.0,1023.0,715.0,1023.0,0,0,0,0,0,0
16,2021-01-28 14:44:59,1023.0,1023.0,1023.0,610.0,103.0,650.0,0,0,0,0,0,0
17,2021-01-28 14:44:58,1023.0,1023.0,1023.0,1023.0,559.0,1023.0,0,0,0,0,0,0
18,2021-01-28 14:44:57,1023.0,1023.0,1023.0,1023.0,654.0,1023.0,0,0,0,0,0,0
19,2021-01-28 14:44:56,1023.0,1023.0,1023.0,923.0,317.0,1023.0,0,0,0,0,0,0
